#Table1
plate,mjd,fiberid,z,subclass,e_bv_sfd,h_beta_flux,h_beta_eqw,oiii_h_beta_flux_ratio,oiii_h_gamma_flux_ratio,h_beta_h_gamma_flux_ratio
491,51942,473,0.05636991,,0.01267224,18.73257,-0.3569266,1.116217,1.255584,1.124857
523,52026,215,0.3428728,BROADLINE,0.01833238,1565.865,-9.174288,1.786942,3.135689,1.754779
542,51993,198,0.06201788,,0.05555102,21.97251,-0.2483293,1.063505,0.6953616,0.6538392
789,52342,507,0.1347965,AGN BROADLINE,0.01291334,892.6796,-4.659881,0.7759572,0.9230051,1.189505
1211,52964,96,0.2568103,BROADLINE,0.02328699,2085.891,-13.35962,0.9005882,1.969415,2.186809
1224,52765,379,0.5228383,BROADLINE,0.04002199,1333.446,-12.69335,0.3398808,0.9305261,2.737802
1225,52760,9,0.06871108,STARBURST BROADLINE,0.02711669,1617.351,-8.725917,2.760107,4.516329,1.636287
1391,52817,578,0.322985,AGN BROADLINE,0.03971768,992.5004,-8.98836,0.6645819,1.228473,1.84849
2153,54212,506,0.4357807,BROADLINE,0.05071359,1594.27,-7.702749,0.1370733,0.2388135,1.742232
2218,53816,458,0.07323702,BROADLINE,0.01829139,61.31808,-0.5953308,1.068553,1.486851,1.391462
2281,53711,618,0.3312704,BROADLINE,0.03245538,907.6284,-15.05295,0.1938764,0.5090339,2.625559
2497,54154,441,0.2716148,BROADLINE,0.01725316,944.9173,-15.74488,0.2583514,0.5117081,1.980667
2599,54234,503,0.4522137,BROADLINE,0.02334159,788.9594,-7.177573,0.6536453,1.062333,1.625243
630,52050,309,0.5947583,BROADLINE,0.01306013,441.927,-4.088861,0.3127979,0.3601722,1.151453
939,52636,172,0.4219211,BROADLINE,0.01403132,575.824,-5.977588,0.5175255,0.8794833,1.699401
1059,52618,628,0.06183716,STARBURST BROADLINE,0.04036992,1786.943,-12.15111,0.9926052,1.884467,1.898506
1605,53062,135,0.4951543,BROADLINE,0.02124032,282.177,-4.666655,1.021166,1.28714,1.260461
1673,53462,108,0.2206272,STARBURST BROADLINE,0.01719172,2303.882,-27.78081,0.6055393,1.353253,2.23479
2260,53638,29,0.4749971,BROADLINE,0.04796193,529.5491,-18.10952,1.314172,3.058248,2.327129
2347,53757,151,0.5113347,BROADLINE,0.02648882,1452.441,-16.70732,0.6893487,1.492386,2.164921
2758,54523,597,0.05463336,,0.02438948,34.03604,-0.3452289,1.519325,3.010827,1.981688
2884,54526,557,0.05376228,,0.02082672,21.13997,-0.2838545,0.5937402,0.7648848,1.288248
2931,54590,82,0.4887098,BROADLINE,0.01365916,296.015,-9.188817,1.236475,3.327248,2.690914
464,51908,576,0.5702274,BROADLINE,0.0965671,367.0603,-3.915135,0.4052001,0.4592269,1.133334
721,52228,454,0.502505,BROADLINE,0.05165878,574.8325,-20.61713,0.4051845,0.9839695,2.428448
