RAJ2000,DEJ2000,Plate,Fiber,MJD,iMAG,logLbol,e_logLbol,logLBHb,e_logLBHb,W_BHb_,e_W_BHb_,EWBHb,e_EWBHb,SN_Hb_,logBH,e_logBH,logEdd
227.30748,17.95278,2792,89,54556,-23.39,45.357,0.002,42.49,0.02,2330.9,40.9,61.5,3.0,31.31,7.84,0.02,-0.58
227.46747,11.17974,1718,490,53850,-23.26,45.352,0.003,42.52,0.01,4691.2,169.9,64.4,1.9,25.1,8.45,0.03,-1.19
227.50128,17.13265,2780,275,54557,-22.62,45.022,0.005,42.16,0.03,4681.8,321.5,63.8,4.7,15.52,8.28,0.06,-1.36
227.58855,-2.06743,922,40,52426,-23.13,45.278,0.006,42.44,0.03,6142.2,2186.1,69.1,5.7,16.53,8.64,0.31,-1.46
227.75792,52.06391,1165,486,52703,-22.77,45.149,0.003,42.11,0.06,2149.0,718.4,41.4,4.9,18.76,7.67,0.29,-0.62
227.76669,3.25809,590,176,52057,-22.78,45.248,0.002,42.52,0.02,4000.5,573.3,82.3,4.4,26.45,8.25,0.12,-1.11
227.7914,42.57627,1677,88,53148,-22.5,45.07,0.006,42.0,0.07,4654.8,1719.7,40.4,7.2,15.46,8.3,0.32,-1.33
227.88055,50.37194,1165,202,52703,-22.6,45.097,0.003,41.73,0.03,2028.9,329.8,19.4,1.4,15.63,7.59,0.14,-0.59
227.88557,10.16477,1718,79,53850,-24.02,45.708,0.002,42.87,0.02,4906.3,75.4,65.9,2.4,35.37,8.66,0.01,-1.05
228.15442,1.47912,540,68,51996,-23.39,45.328,0.004,42.57,0.02,5151.5,165.2,79.7,5.2,21.58,8.51,0.03,-1.29
228.32585,1.16461,312,330,51689,-22.84,45.113,0.003,42.47,0.02,3232.2,164.0,102.3,4.4,18.37,8.0,0.04,-0.99
228.35796,46.90223,1050,458,52721,-23.88,45.567,0.002,42.83,0.01,3216.3,115.4,82.8,2.0,37.87,8.23,0.03,-0.76
228.4045,20.19267,2156,193,54525,-23.25,45.484,0.004,42.52,0.02,9034.0,387.3,47.7,2.0,31.57,9.08,0.04,-1.7
228.43057,46.26311,1050,500,52721,-22.6,45.102,0.002,42.13,0.09,1353.6,758.6,47.3,7.7,20.05,7.24,0.49,-0.24
228.46458,26.39949,2157,195,54242,-23.68,45.248,0.014,42.5,0.03,2031.3,70.8,80.1,9.0,24.75,7.67,0.03,-0.52
228.55244,-0.05328,311,26,51665,-22.55,45.007,0.005,42.08,0.02,3820.6,265.0,54.5,2.5,15.77,8.09,0.06,-1.19
228.58553,42.74594,1677,15,53148,-22.27,44.939,0.003,41.82,0.02,5103.6,207.7,34.7,2.2,21.51,8.31,0.04,-1.47
228.72195,5.61024,1834,341,54562,-22.33,44.954,0.004,41.76,0.07,15509.4,6612.7,31.4,6.0,19.25,9.29,0.37,-2.43
228.78096,6.95232,1818,268,54539,-23.41,45.337,0.005,42.57,0.03,3133.5,131.7,73.5,5.9,16.84,8.09,0.04,-0.85
