,plate,mjd,fiberid,z,subclass,e_bv_sfd,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,oi_6300_flux,sii_6717_flux,sii_6731_flux,neiii_3869_flux,oii_3726_flux,oii_3729_flux,h_alpha_eqw,nii_6584_eqw,psfMag_g,psfMag_z
20469,886,52381,388,0.07322279,b'STARBURST',0.01206655,1175.523,323.317,847.2368,155.4291,26.04203,145.0678,105.3726,50.76272,315.5644,353.503,-118.8524,-15.56079,18.73715,18.30799
20470,886,52381,179,0.1505266,b'STARBURST',0.01436234,925.9898,252.9272,587.9364,148.0731,26.56311,112.1019,77.14964,33.90047,220.6782,248.9089,-153.6922,-26.47278,19.54947,19.05239
20471,887,52376,395,0.183234,b'STARBURST',0.01133916,628.7243,190.5624,625.7537,56.05682,14.20121,69.81731,53.24379,44.29834,234.8983,235.1024,-168.8896,-18.00273,19.39799,19.23401
20472,887,52376,23,0.02952621,b'STARBURST',0.01217106,401.7419,135.9552,320.2685,12.86288,9.534972,38.83301,28.17528,32.32433,170.7552,211.933,-55.89469,-1.889635,19.07891,19.23606
20473,2432,54052,437,0.0836191,b'STARFORMING',0.02073465,307.2821,73.21777,108.1084,152.0836,14.99332,55.03922,43.05572,15.13325,55.50899,66.32539,-17.21239,-8.675519,18.90699,17.64059
20474,2437,53848,508,0.08743493,b'STARFORMING',0.03602056,205.5949,50.83525,100.9268,105.8533,11.3666,41.2389,30.38065,22.37349,36.10392,38.42498,-16.86055,-8.342272,19.19538,17.82761
20475,2435,53828,633,0.06909843,b'STARBURST',0.03989832,790.7282,256.7923,780.6396,57.67588,24.32313,95.98612,69.2793,58.79825,367.036,384.7509,-142.6642,-11.224,19.08591,19.03228
20476,2501,54084,525,0.03132247,b'STARBURST',0.01995053,628.4658,215.7418,484.4083,60.52985,22.42159,95.60571,67.51826,38.13252,316.4061,374.9128,-53.43464,-5.742186,18.81616,18.25928
20477,2429,53799,583,0.05138119,b'STARBURST',0.01837645,353.8782,104.4664,189.6923,41.89848,12.86348,67.47276,48.50512,16.05269,141.2261,165.1093,-50.13318,-5.722065,19.93428,19.15852
20478,2429,53799,383,0.02824726,b'STARBURST',0.02872471,3646.052,907.3485,3519.59,403.7844,52.87947,329.6124,252.7531,179.1263,818.7975,808.7128,-220.1419,-23.68702,18.54145,17.65262
20479,2494,54174,46,0.08584488,b'STARBURST',0.02360472,786.6832,242.6354,455.5323,126.3998,19.54587,115.7625,79.20849,24.41251,349.7437,367.1542,-92.39315,-15.02267,18.85052,18.33774
20480,2480,53851,206,0.09947316,b'AGN',0.02634785,349.1372,78.21632,692.4489,270.2917,38.85034,92.58984,72.87468,67.62279,125.5507,34.57677,-16.06107,-13.13747,18.63329,17.06991
20481,2499,54176,80,0.07817366,b'STARBURST',0.02880457,1727.498,556.0931,1881.6,124.6475,41.41859,176.3819,124.3192,114.0325,700.1089,816.2877,-230.0075,-17.52045,18.71423,18.73816
20482,2498,54169,634,0.0846779,b'STARBURST',0.02419534,805.8051,251.9088,404.9446,138.7811,22.37547,126.2878,92.82685,28.32142,317.2167,366.2242,-79.98509,-13.53232,18.79194,18.63044
20483,2502,54180,271,0.1536794,b'AGN',0.02095753,213.1241,45.17256,105.7519,232.973,26.20237,75.18391,53.70692,20.2141,59.70092,65.4442,-14.60824,-13.69901,19.30884,17.83285
20484,2495,54175,480,0.138673,b'STARFORMING',0.02197943,311.683,71.32999,44.64154,164.8454,10.94683,72.0652,57.87469,10.23065,51.3267,48.35778,-19.11345,-10.40505,19.25255,17.79328
20485,2490,54179,435,0.080612,b'STARBURST',0.0237111,490.3788,144.2057,251.9272,80.83981,22.42231,93.86989,60.47737,16.14538,226.8415,274.759,-61.71306,-10.40712,19.19608,18.8524
20486,2490,54179,398,0.03232413,b'STARBURST',0.02288388,540.4501,153.7388,170.7294,107.2472,20.67261,102.9304,76.97863,23.89557,196.913,269.3592,-49.40254,-9.607322,19.171,18.60002
20487,2490,54179,354,0.2578932,b'STARBURST',0.02388873,498.2272,139.3014,218.2405,81.06802,19.03562,83.58566,49.81332,15.27088,160.3997,206.7418,-70.43257,-13.20875,18.7972,18.50514
20488,2485,54176,566,0.06612206,b'AGN',0.02299717,679.3299,107.1295,196.6805,491.9955,32.11116,125.3145,95.41259,25.67653,79.23013,76.97572,-22.00998,-15.3673,18.73549,17.11468
20489,2485,54176,458,0.05606832,b'STARBURST',0.02177069,1189.259,281.853,172.857,428.0894,38.74016,210.2563,154.9184,16.1372,260.1179,300.8952,-83.83038,-30.50857,18.77496,17.84113
20490,2479,54174,543,0.04605829,b'STARBURST',0.03164838,1236.362,356.3113,374.0181,299.5451,31.77585,207.7772,148.313,33.26412,512.857,578.1118,-43.64158,-10.90948,18.09577,17.67052
20491,2479,54174,549,0.04844084,b'STARBURST',0.03523327,1465.571,334.9143,348.025,399.2517,31.60035,168.2947,129.8397,17.70269,324.0054,312.7684,-99.63627,-27.15932,18.83064,17.8138
20492,2479,54174,510,0.03017856,b'STARBURST',0.0319595,2191.048,676.6425,2128.714,189.1456,34.17639,205.9081,154.5453,125.3871,918.6587,859.3147,-220.7594,-19.7849,18.75542,18.82619
20493,2498,54169,148,0.102699,b'STARBURST',0.01968241,512.3882,130.5089,128.0492,211.6716,15.37386,89.71579,63.93476,23.52658,89.40527,87.6171,-51.93306,-21.07135,19.55731,18.78343
20494,2495,54175,34,0.1677297,b'STARBURST',0.02026844,955.0344,275.0832,771.4566,141.0393,27.71255,112.2803,83.44594,50.08034,317.4865,360.4009,-219.8114,-33.9136,19.52826,19.23689
20495,2495,54175,301,0.07352861,b'AGN',0.02156967,253.0772,49.72787,163.2359,221.0076,20.27264,73.65099,51.57079,20.12535,59.14252,56.60234,-11.78766,-10.50282,19.17961,17.53503
20496,2495,54175,309,0.1686611,b'STARBURST',0.0214843,781.2297,224.6562,189.6812,239.9172,25.84235,116.934,89.45032,16.93775,213.8584,245.2016,-111.62,-34.11422,19.57206,18.91289
20497,2490,54179,78,0.05214465,b'STARBURST BROADLINE',0.02192602,535.8541,152.9684,1354.429,375.0233,50.40862,68.93678,80.20017,150.8035,79.56548,71.22342,-12.28304,-9.328388,17.85763,16.93098
20498,2490,54179,240,0.2139331,b'AGN',0.02260558,385.3319,98.25924,254.818,212.1288,19.70104,69.29748,56.35728,25.92435,85.23371,74.10645,-54.51379,-33.00655,19.92486,18.98552
20499,2490,54179,55,0.1718888,b'AGN',0.02010816,271.4827,63.32582,268.1724,213.3921,19.5493,82.43147,58.08113,31.71991,95.62534,71.82027,-22.65142,-17.54799,20.00799,18.27856
20500,2487,53852,402,0.1113012,b'STARBURST',0.02246773,451.1645,132.1116,220.6976,74.96507,9.043815,61.34732,46.88487,12.7694,150.1944,170.6887,-105.7803,-17.28477,19.75356,19.16932
