,plate,mjd,fiberid,class,subclass,z,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,oi_6300_flux,sii_6717_flux,sii_6731_flux,h_alpha_eqw,nii_6584_eqw
18524,659,52199,337,b'GALAXY',b'',0.07445397,48.63242,14.29848,18.22379,29.61547,12.13451,25.19691,22.79054,-2.796926,-1.974414
18525,659,52199,554,b'GALAXY',b'STARFORMING',0.02372148,676.8749,161.3882,29.7971,235.3121,22.97518,89.17941,60.03318,-18.38295,-6.560904
18526,659,52199,608,b'GALAXY',b'STARBURST',0.123683,464.6732,117.6247,66.66823,131.5724,18.49942,93.11716,64.18343,-47.93262,-13.32019
18527,660,52177,23,b'GALAXY',b'AGN',0.1042896,297.302,79.82911,597.755,252.8776,28.72296,74.61645,57.5563,-34.89585,-29.59361
18528,660,52177,500,b'GALAXY',b'AGN',0.1322471,377.403,79.52093,222.9067,266.3071,28.4288,78.06368,71.0582,-25.84611,-18.06617
18529,660,52177,568,b'GALAXY',b'STARFORMING',0.07529643,291.7079,48.70939,15.06984,119.8103,12.09105,55.09753,39.97985,-28.89097,-11.81394
18530,661,52163,184,b'GALAXY',b'STARFORMING',0.1079669,527.7413,104.743,23.9775,169.1723,15.50758,77.9733,56.52416,-36.88029,-11.77417
18531,661,52163,230,b'GALAXY',b'STARFORMING',0.08470054,320.8259,73.45379,59.02591,93.11893,19.23364,76.89058,46.51093,-40.34636,-11.95842
18532,662,52147,571,b'GALAXY',b'',0.09195332,110.962,14.03152,25.90081,99.72357,18.28807,49.43962,37.81349,-8.311179,-6.900796
18533,662,52147,615,b'GALAXY',b'STARFORMING',0.09428912,144.5545,41.80074,65.25948,76.82708,13.40411,46.20632,30.72926,-12.59558,-6.517768
18534,663,52145,237,b'GALAXY',b'STARBURST',0.1771659,325.0952,77.56255,60.55656,89.55906,9.871147,54.4197,38.33899,-64.84103,-18.27565
18535,664,52174,542,b'GALAXY',b'STARBURST',0.0541223,703.8802,173.2634,92.23167,228.354,16.72188,126.9976,93.14562,-43.02345,-13.90396
18536,665,52168,92,b'GALAXY',b'STARBURST',0.1637674,564.849,97.52495,122.1708,314.8231,24.41736,104.1431,89.92115,-51.8714,-28.36406
18537,665,52168,272,b'GALAXY',b'STARFORMING',0.05858225,107.7602,34.52487,47.0778,17.53817,5.339407,25.19718,17.7182,-33.06057,-5.520766
18538,666,52149,85,b'GALAXY',b'STARFORMING',0.01296507,813.5248,207.6805,373.7965,110.4175,26.30064,157.3549,111.5764,-35.51407,-4.914804
18539,666,52149,566,b'GALAXY',b'STARFORMING',0.06443824,157.7449,34.68346,14.49256,72.40683,9.977464,36.14744,23.79072,-8.877139,-3.82379
18540,667,52163,108,b'GALAXY',b'STARFORMING',0.1029769,626.6404,117.3071,28.54992,224.8855,20.09259,75.37488,48.00102,-26.89485,-9.299562
18541,668,52162,67,b'GALAXY',b'STARBURST',0.05458121,619.4454,138.8568,51.75256,212.9617,12.4715,113.1431,84.10122,-44.50386,-15.22599
18542,669,52559,306,b'QSO',b'AGN BROADLINE',0.2913462,411.5074,106.1712,893.8128,299.8743,51.1043,97.61552,87.92722,-42.48806,-30.60138
18543,674,52201,348,b'GALAXY',b'STARBURST',0.08546798,524.0484,136.4751,54.42215,215.9531,14.53497,87.00466,66.64128,-43.82148,-18.01877
18544,674,52201,455,b'GALAXY',b'STARFORMING',0.1263769,172.9264,36.17591,13.82555,61.99714,9.441971,31.65292,18.89215,-21.3058,-7.092453
18545,520,52288,267,b'GALAXY',b'STARFORMING',0.07752249,263.9649,70.2039,44.42521,72.82172,12.22919,55.14639,42.14459,-34.95386,-9.851904
18546,520,52288,392,b'GALAXY',b'STARFORMING',0.007397438,251.8301,76.35136,135.2468,53.95197,15.47411,79.69365,53.52497,-6.353887,-1.472551
18547,520,52288,558,b'GALAXY',b'STARFORMING',0.005278524,2279.313,245.9776,46.30285,803.074,45.31947,325.2072,240.203,-29.44324,-10.82666
18548,521,52326,300,b'GALAXY',b'AGN',0.006157753,3834.808,928.8184,6729.555,2136.215,299.1422,809.8932,769.1209,-15.88593,-9.052813
18549,522,52024,33,b'GALAXY',b'STARFORMING',0.06643442,703.4642,167.1221,45.73651,280.8126,14.78923,121.885,89.06808,-32.02969,-12.81889
18550,522,52024,333,b'GALAXY',b'STARFORMING',0.1126375,135.7462,36.75374,23.46102,84.53739,18.94236,52.75729,46.18842,-8.962248,-5.922153
18551,523,52026,626,b'GALAXY',b'STARBURST',0.07109631,488.7968,125.493,98.97921,123.5808,21.27821,108.5265,76.20525,-47.48927,-12.14155
18552,524,52027,487,b'GALAXY',b'STARBURST',0.1073572,449.7656,70.93766,23.57682,214.1203,12.68162,53.2783,44.92699,-38.84219,-18.6974
18553,525,52295,480,b'GALAXY',b'STARFORMING',0.06747252,171.9496,46.67479,48.76382,99.23661,10.26221,39.71335,32.2669,-16.55178,-9.398908
18554,526,52312,224,b'GALAXY',b'STARBURST',0.04337743,1250.716,305.6552,107.0378,445.9548,26.87515,229.0943,164.8811,-46.15856,-16.13443
18555,526,52312,370,b'GALAXY',b'STARFORMING',0.04521059,428.7369,102.6331,31.11796,172.4319,9.377344,88.00308,63.84465,-23.88388,-9.918902
18556,527,52342,103,b'GALAXY',b'STARBURST',0.05881042,1263.596,396.6494,1135.785,100.4792,48.71556,183.106,131.4079,-126.1347,-10.39028
18557,527,52342,313,b'GALAXY',b'STARBURST',0.02242053,670.3229,229.6145,658.3232,69.55461,12.81078,94.77106,61.99398,-76.11788,-7.751402
18558,528,52022,154,b'GALAXY',b'STARBURST',0.01127273,715.2476,231.481,524.9726,64.21719,12.65794,104.6164,73.48489,-54.23099,-5.096247
18559,528,52022,585,b'QSO',b'AGN',0.1164003,351.425,80.25108,327.6202,291.7737,19.23783,77.35468,60.59396,-28.35689,-23.30276
18560,530,52026,152,b'GALAXY',b'STARBURST',0.07761092,723.5079,165.2609,45.32399,229.4396,18.77183,135.9686,78.26578,-48.85493,-15.54479
18561,530,52026,156,b'GALAXY',b'STARFORMING',0.0421891,669.6253,124.484,37.52477,279.2011,22.63957,112.4031,76.65826,-18.94695,-7.817851
18562,530,52026,508,b'GALAXY',b'STARBURST',0.0424097,347.1743,104.4944,296.1514,29.31967,11.26001,47.9709,31.47667,-49.28432,-3.836691
18563,531,52028,142,b'GALAXY',b'STARFORMING',0.02419135,247.5179,73.03979,51.38397,70.59628,7.998491,60.28028,41.53926,-24.57355,-6.793269
18564,531,52028,513,b'GALAXY',b'STARFORMING',0.0671925,178.2552,45.57981,17.28386,56.74656,8.594787,40.10273,28.58684,-21.23835,-6.559557
